doi,nct_id_evidence,nct_id,study_name_evidence,study_name,study_title,ses_indicators_evidence,income_reported,education_reported,insurance_status_reported,ses_notes,detailed_race_breakdown_evidence,detailed_race_breakdown,candidate_score,tier,status,provider,model,model_label
Not Reported,Not Reported,NCT04951310,Letter to the Editor,Not Reported,This is a Letter to the Editor commenting on AI applications for infectious disease control in Africa; it is not a clinical trial and reports no primary cohort.,Not Reported,False,False,False,None,Not Reported,None,,Tier 2,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,Not Reported,NCT04951310,LETTER TO THE EDITOR,Not Reported,Letter to the Editor commenting on a previously published case report describing coexistence of mixed connective tissue disease (MCTD) and tuberculosis. Not a clinical trial.,Not Reported,False,False,False,None,Not Reported,None,,Tier 3,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,The ongoing randomized controlled trial THARROS (clinicaltrials.gov nr NCT06283966),NCT06283966,This was a cohort study of 517 patients consecutively recruited at seven hospitals in Sweden from February 2022 to March 2023 and at one hospital in the United Kingdom from January to November 2022.,Not Reported,"Cohort study of patients consecutively recruited at seven hospitals in Sweden (Feb 2022–Mar 2023) and one hospital in the UK (Jan–Nov 2022) hospitalized for acute myocardial infarction with ≥10 pack-years smoking, with one-year follow-up of cardiovascular events.",Not Reported,False,False,False,None,Not Reported,None,,Tier 3,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,Not Reported,NCT05838664,This secondary analysis of a prospective cohort study analyzed data from adult participants in Nurses' Health Study and Health Professionals Follow-Up Study with a BMI > 25 kg/m2 between 01/01/1990 and 12/31/1999. We investigated the relationship between cumulative exposure to body mass index (BMI) > 25 kg/m2 between 1990 and 1999 and time to the composite primary outcome of fatal and non-fatal myocardial infarction (MI) and stroke beginning in 2000.,Not Reported,Secondary analysis of a prospective cohort study investigating the relationship between cumulative exposure to body mass index (BMI) > 25 kg/m² over a decade (1990-1999) and subsequent incidence of cardiovascular events (fatal and non-fatal myocardial infarction or cerebrovascular accident) using data from the Nurses' Health Study and Health Professionals Follow-Up Study.,Not Reported,False,False,False,"value: {'education': 'Not Reported', 'exact_quote': '', 'page_number': 0}",Not Reported,None,,Tier 2,Extracted,anthropic,claude-haiku-4-5-20251001,Haiku 4.5
Not Reported,Not Reported,NCT06033521,"This quasi‐experimental, controlled interventional study was conducted on couples attending premarital counseling classes in 2023.",Not Reported,"Quasi-experimental controlled intervention study of 40 couples (80 participants) attending premarital counseling classes, randomly assigned to intervention (20 couples) or control (20 couples) groups, with the intervention group receiving five 60-min reproductive/sexual health education sessions; assessments before and 3 months after.",Educational level Undergraduate 3 (%7.5) 5 (%12.5) 0.24 Diploma 8 (%20) 6 (%15) University 29 (%73.5) 29 (%73.5),True,True,False,education: Education level reported (Control vs Intervention): Undergraduate 3 (7.5%) vs 5 (12.5%); Diploma 8 (20%) vs 6 (15%); University 29 (73.5%) vs 29 (73.5%).,Not Reported,None,,Tier 2,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,Not Reported,NCT06033521,"This editorial introduces the Research Topic ""Advancing HIV Treatment and Prevention for Women,"" a collection of multidisciplinary studies and perspectives",Not Reported,Editorial introducing a Research Topic collection of multidisciplinary studies and perspectives on advancing HIV treatment and prevention for cisgender women.,Not Reported,False,False,False,None,Not Reported,None,,Tier 3,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,Not Reported,NCT06033521,"We recruited patients ≥18 years of age presenting with wet/moist anogenital lesions at Bwaila District Hospital STI Clinic in Lilongwe, Malawi, from November 2019 to April 2022. Lesion exudates were tested by darkfield microscopy (DFM) and polymerase chain reaction (PCR) for Treponema pallidum (TP) and by PCR for Haemophilus ducreyi (HD), herpes simplex virus, and Chlamydia trachomatis.",Not Reported,"Prospective observational study of patients aged ≥18 years presenting with genital ulcer disease to an STI clinic from November 2019 to April 2022, with screening by darkfield microscopy and PCR testing for multiple sexually transmitted infection pathogens.",Not Reported,False,False,False,"value: {'education': {'value': 'Not Reported', 'exact_quote': '', 'page_number': 0}, 'income': {'value': 'Not Reported', 'exact_quote': '', 'page_number': 0}, 'wealth': {'value': 'Not Reported', 'exact_quote': '', 'page_number': 0}, 'family_size': {'value': 'Not Reported', 'exact_quote': '', 'page_number': 0}, 'adi_area_deprivation_index': {'value': 'Not Reported', 'exact_quote': '', 'page_number': 0}}; page_number: 0",Not Reported,None,,Tier 3,Extracted,anthropic,claude-haiku-4-5-20251001,Haiku 4.5
Not Reported,Not Reported,NCT06033521,"This qualitative study was designed through the conventional content analysis approach. Purposive sampling with maximum variation was employed to select 26 participants, and data were collected through in-depth, semi-structured interviews.",Not Reported,"Qualitative study using conventional content analysis approach. Purposive sampling with maximum variation was employed to select 26 participants, and data were collected through in-depth, semi-structured interviews.","Education level (N, %): Basic literacy 1 (3.84%), Diploma 8 (30.76%), University 17 (65.38%) | Socioeconomic status (N, %): Good 2 (7.70%), Average 19 (73.07%), Weak 5 (19.23%) | Number of children (M ± SD) 1.81 ± 0.85",True,True,False,"education: Basic literacy 1 (3.84%), Diploma 8 (30.76%), University 17 (65.38%); wealth: Socioeconomic status (N, %): Good 2 (7.70%), Average 19 (73.07%), Weak 5 (19.23%); family_size: Mean number of children 1.81 ± 0.85",Iran is an ethnically diverse country,unknown: 26,,Tier 3,Extracted,anthropic,claude-haiku-4-5-20251001,Haiku 4.5
Not Reported,Not Reported,NCT06053541,"We performed a secondary analysis of the prospective UK Biobank cohort, including participants aged 37–73 years recruited from 22 assessment centres across the UK between 2006 and 2010. Cox proportional hazards models estimated HRs for incident lung cancer according to respiratory disease status",Not Reported,"Secondary analysis of the prospective UK Biobank cohort using Cox proportional hazards models, mediation analysis, and Mendelian randomisation to evaluate associations between respiratory diseases and lung cancer incidence.","Education, n, % ... No college degree 304 977.00 (66.47%) ... College or university degree 149 015.00 (32.48%) ... Unknown 4830.00 (1.05%) | Townsend Deprivation Index, mean (SD) −2.15 (3.08) ... <−2.14 230 300.00 (50.19%) ... ≥−2.14 228 522.00 (49.81%)",True,True,False,"education: No college degree: 304 977 (66.47%); College or university degree: 149 015 (32.48%); Unknown: 4830 (1.05%); adi_area_deprivation_index: Townsend Deprivation Index, mean (SD): −2.15 (3.08); <−2.14: 230 300 (50.19%); ≥−2.14: 228 522 (49.81%)",Asian or Asian British 8983.00 (1.96%) | Black or Black British 6912.00 (1.51%) | White 431 800.00 (94.11%) | Mixed 2628.00 (0.57%) | Unknown 3097.00 (0.67%),white: 431800; black: 6912; asian: 8983; other: 2628; unknown: 3097,,Tier 2,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,Not Reported,NCT06053541,"The first five residual RV/EV‐positive clinical specimens per week collected from hospitalized pediatric patients aged < 22 years during September 2022 through April 2023 were requested from five Wisconsin children's hospitals... Wisconsin Department of Health Services abstracted demographic, comorbid condition, and hospitalization course information from patient medical records.",Not Reported,Retrospective cross-sectional surveillance study of hospitalized pediatric patients with RV/EV respiratory infections. Five Wisconsin pediatric hospitals submitted RV/EV-positive specimens weekly during September 2022–April 2023 for viral typing and clinical characterization via medical record review.,Not Reported,False,False,False,None,Not Reported,None,,Tier 3,Extracted,anthropic,claude-haiku-4-5-20251001,Haiku 4.5
10.1002/jmri.70189,Not Reported,Not Reported,"This narrative review synthesizes current progress across five domains—patient triage, accelerated acquisition and reconstruction, image quality assurance, diagnosis and prognosis.",Not Reported,"Narrative review synthesizing AI/ML applications across the prostate MRI pathway (triage, acquisition/reconstruction, image quality assurance, diagnosis, and prognosis); not a primary validation study.",Not Reported,False,False,False,None,Not Reported,None,,,Extracted,anthropic,claude-opus-4-7,Opus 4.7
10.1007/s00261-024-04640-x,Ambroise Grandjean G et al. are conducting a prospective trial using a deep learning algorithm... (NCT03812471). Carlos Robles-M et al. intend to build a CNN algorithm... (NCT05151939). Jan D et al. are conducting a single-center study... (NCT05530681). Theo R et al. developed an algorithm that can automatically segment the pelvic vessels... (NCT05637346).,NCT03812471,"This review aims to provide a comprehensive overview of current state-of-the-art applications for AI in abdominal and pelvic ultrasound imaging. Methods We searched the PubMed, FDA, and ClinicalTrials.gov databases for applications of AI in abdominal and pelvic ultrasound imaging.",Not Reported,"Narrative review of AI/ML applications in abdominal and pelvic ultrasound imaging, searching PubMed, FDA, and ClinicalTrials.gov databases; 57 manuscripts included.",Not Reported,False,False,False,None,"Third, in this review, none of the included studies reported the composition of ethnic groups.",None,,,Extracted,anthropic,claude-opus-4-7,Opus 4.7
10.1007/s11604-025-01830-5,Not Reported,Not Reported,"In this prospective study, we validated the usefulness of non-contrast CSAI CMRA.",Not Reported,"Prospective study comparing non-contrast conventional CMRA, CS CMRA, and CSAI CMRA (CS with deep learning reconstruction) on a 3T scanner in 20 healthy volunteers, evaluating imaging time, image quality, SNR, CNR, and vessel sharpness.",Not Reported,False,False,False,None,Not Reported,None,,,Extracted,anthropic,claude-opus-4-7,Opus 4.7
10.1016/j.phro.2026.100935,Not Reported,Not Reported,"Contrast-enhanced (CE) and non-contrast-enhanced (NCE) breath-hold thoracic computed tomography (CT) scans, sequentially acquired during the same imaging session for twenty lung cancer patients, were used. Seven commercial, three open-source, and one in-house AI solutions were evaluated.",Not Reported,"Comparative validation study evaluating eleven AI-based auto-contouring solutions (7 commercial, 3 open-source, 1 in-house) for cardiac substructure delineation on paired contrast-enhanced and non-contrast-enhanced thoracic CT scans from 20 lung cancer patients, using DSC, HD95, and volume ratio metrics.",Not Reported,False,False,False,None,Not Reported,None,,,Extracted,anthropic,claude-opus-4-7,Opus 4.7
10.1111/joor.70120,Not Reported,Not Reported,This observational cross- sectional study was conducted following the Helsinki Declaration and the recommendations of the Strengthening the Reporting of Observational Studies in Epidemiology (Strobe) guidelines,Not Reported,This observational cross-sectional study examined which diagnostic methods for TMJ hypermobility best predict masticatory dysfunction and clinical/functional repercussions of TMD using regression analyses.,Not Reported,False,False,False,None,Not Reported,None,,,Extracted,anthropic,claude-haiku-4-5-20251001,Haiku 4.5
10.1186/s12872-021-02206-z,Not Reported,Not Reported,"This was a retrospective analysis of the CCTA images of 155 patients with clinically diagnosed coronary heart disease from September 2019 to January 2020, 79 of whom were considered positive (myocardial ischaemia) and 76 negative (normal myocardial blood supply) according to their clinical diagnoses... All patients were randomly divided into a training cohort and a test cohort at a 7:3 ratio.",Not Reported,"Retrospective single-center analysis of CCTA images from 155 patients (79 myocardial ischaemia, 76 controls), randomly split 7:3 into training and test cohorts. A multivariable logistic regression radiomics model was built from CCTA myocardial texture features and validated on the test cohort.",Not Reported,False,False,False,None,Not Reported,None,,,Extracted,anthropic,claude-opus-4-7,Opus 4.7
10.1186/s40658-023-00606-y,Not Reported,Not Reported,"We performed a retrospective study of 810 consecutive patients with suspected or known CAD who were referred for rest/stress 99mTc-sestamibi (MIBI) GSPECT from June 2022 to March 2023 at the Department of Nuclear Medicine, Shanghai Tenth People's Hospital.",Not Reported,"Retrospective single-center study evaluating the D-SPECT Small Heart (SH) reconstruction protocol versus the standard (SD) protocol for quantification of LVEF and LV volumes in patients with small LV volumes, using echocardiography as reference.",Not Reported,False,False,False,None,Not Reported,None,,,Extracted,anthropic,claude-opus-4-7,Opus 4.7
10.1186/s41824-025-00272-6,Not Reported,Not Reported,"We created normal and inferior wall defect myocardial models using an anthropomorphic myocardial phantom... In addition, these reconstruction conditions were applied to a patient with acute coronary syndrome, supporting the phantom-based findings.",Not Reported,"Phantom-based experimental study using an anthropomorphic myocardial phantom to evaluate simultaneous dual-isotope (SDI) SPECT image quality at various 99mTc/123I ratios on a CZT camera (D-SPECT Cardio), with findings supported by a single clinical case of a patient with acute coronary syndrome.",Not Reported,False,False,False,None,Not Reported,None,,,Extracted,anthropic,claude-sonnet-4-6,Sonnet 4.6
