Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code,pdf_url,local_pdf_path
11/21/25,K251506,Nelli (Version 7.11),Neuro Event Labs OY,Neurology,POS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251506.pdf,Data/FDA Summary Statements/2026-04-16_K251506.pdf
11/21/25,K251293,CardioVision,Icardio.Ai,Cardiovascular,QUO,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251293.pdf,Data/FDA Summary Statements/2026-04-16_K251293.pdf
11/20/25,K251822,MAGNETOM Free.Max; MAGNETOM Free.Star,"Siemens Shenzhen Magnetic Resonance , Ltd.",Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251822.pdf,Data/FDA Summary Statements/2026-04-16_K251822.pdf
11/17/25,K252086,DTX Studio Assist,Nobel Biocare C/O Medicim NV,Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252086.pdf,Data/FDA Summary Statements/2026-04-16_K252086.pdf
11/17/25,K252330,DeepRESP,Nox Medical Ehf,Neurology,OLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252330.pdf,Data/FDA Summary Statements/2026-04-16_K252330.pdf
11/14/25,K250525,Second Opinion® Panoramic,"Pearl, Inc.",Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250525.pdf,Data/FDA Summary Statements/2026-04-16_K250525.pdf
11/14/25,K251078,AutoDensity,Eos Imaging,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251078.pdf,Data/FDA Summary Statements/2026-04-16_K251078.pdf
11/12/25,K252452,PeekMed web,"Peek Health, S.A.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252452.pdf,Data/FDA Summary Statements/2026-04-16_K252452.pdf
11/7/25,K250264,SugarBug (1.x),"Bench7, Inc.",Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250264.pdf,Data/FDA Summary Statements/2026-04-16_K250264.pdf
11/7/25,K252041,Fibresolve (with PCCP),"Imvaria, Inc.",Radiology,QWO,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252041.pdf,Data/FDA Summary Statements/2026-04-16_K252041.pdf
11/6/25,K253265,BriefCase-Triage,"Aidoc Medical , Ltd.",Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253265.pdf,Data/FDA Summary Statements/2026-04-16_K253265.pdf
11/3/25,K251532,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251532.pdf,Data/FDA Summary Statements/2026-04-16_K251532.pdf
11/3/25,K250330,3mensio Workstation,Pie Medical Imaging BV,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250330.pdf,Data/FDA Summary Statements/2026-04-16_K250330.pdf
10/31/25,K252074,"Aplio i900, Aplio i800 and Aplio i700 Software V9.0 Diagnostic Ultrasound System",Canon Medical Systems Corporation,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252074.pdf,Data/FDA Summary Statements/2026-04-16_K252074.pdf
10/30/25,K250337,AiORTA - Plan,"ViTAA Medical Solutions, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250337.pdf,Data/FDA Summary Statements/2026-04-16_K250337.pdf
10/29/25,K251963,LOGIQ E10s,Ge Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251963.pdf,Data/FDA Summary Statements/2026-04-16_K251963.pdf
10/29/25,K250882,SANSA HSAT,Huxley Medical,Anesthesiology,MNR,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250882.pdf,Data/FDA Summary Statements/2026-04-16_K250882.pdf
10/29/25,K251985,LOGIQ E10,Ge Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251985.pdf,Data/FDA Summary Statements/2026-04-16_K251985.pdf
10/27/25,K251027,cvi42 Coronary Plaque Software Application,"Circle Cardiovascular Imaging, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251027.pdf,Data/FDA Summary Statements/2026-04-16_K251027.pdf
10/24/25,K251059,Syngo Carbon Clinicals (VA41),Siemens Healthineers AG,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251059.pdf,Data/FDA Summary Statements/2026-04-16_K251059.pdf
10/23/25,K250288,TeraRecon Cardiovascular.Calcification.CT,"Terarecon,Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250288.pdf,Data/FDA Summary Statements/2026-04-16_K250288.pdf
10/22/25,K252298,ANDI 2.0,"Imeka Solutions, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252298.pdf,Data/FDA Summary Statements/2026-04-16_K252298.pdf
10/20/25,K252665,brAIn Shoulder Positioning,Avatar Medical,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252665.pdf,Data/FDA Summary Statements/2026-04-16_K252665.pdf
10/17/25,K251673,X9 Ultrasound System,"X9, Inc.",Radiology,SGH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251673.pdf,Data/FDA Summary Statements/2026-04-16_K251673.pdf
10/17/25,K251355,X1-FFR,"Spectrawave, Inc.",Radiology,QHA,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251355.pdf,Data/FDA Summary Statements/2026-04-16_K251355.pdf
10/10/25,K251082,HYDROS Robotic System (HY1000); HYDROS Handpiece (HH1000); HYDROS TRUS Probe (HU1000),Procept Biorobotics,General and Plastic Surgery,PZP,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251082.pdf,Data/FDA Summary Statements/2026-04-16_K251082.pdf
10/10/25,K251602,"Alphenix, INFX-8000V/B, INFX-8000V/S, V9.6 with aEvolve Imaging",Canon Medical Systems Corporation,Radiology,OWB,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251602.pdf,Data/FDA Summary Statements/2026-04-16_K251602.pdf
10/9/25,K251651,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,"Philips Ultrasound, LLC",Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251651.pdf,Data/FDA Summary Statements/2026-04-16_K251651.pdf
10/7/25,K252214,AIAS Cephalon,Metamorphosis GmbH,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252214.pdf,Data/FDA Summary Statements/2026-04-16_K252214.pdf
10/6/25,K252007,BlineSlide,"Deep Breathe, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252007.pdf,Data/FDA Summary Statements/2026-04-16_K252007.pdf
10/3/25,K252178,MAGENTIQ-COLO (ME-APDS),"Magentiq Eye, Ltd.",Gastroenterology-Urology,QNP,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252178.pdf,Data/FDA Summary Statements/2026-04-16_K252178.pdf
10/3/25,K251639,xvision Spine system,"Augmedics, Ltd.",Neurology,SBF,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251639.pdf,Data/FDA Summary Statements/2026-04-16_K251639.pdf
10/3/25,K250662,Bunkerhill MAC,Bunkerhill Health,Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250662.pdf,Data/FDA Summary Statements/2026-04-16_K250662.pdf
10/2/25,K250766,LungQ 4,Thirona BV,Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250766.pdf,Data/FDA Summary Statements/2026-04-16_K250766.pdf
9/29/25,K250023,SMART PCFD,Disior Ltd,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250023.pdf,Data/FDA Summary Statements/2026-04-16_K250023.pdf
9/29/25,K252054,SpineAR SNAP (SyncAR Spine),"Surgical Theater, Inc.",Neurology,SBF,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252054.pdf,Data/FDA Summary Statements/2026-04-16_K252054.pdf
9/26/25,K252105,Ligence Heart,"Ligence, UAB",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252105.pdf,Data/FDA Summary Statements/2026-04-16_K252105.pdf
9/25/25,K251527,Brain WMH,Quantib BV,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251527.pdf,Data/FDA Summary Statements/2026-04-16_K251527.pdf
9/25/25,K252371,uMR 680,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252371.pdf,Data/FDA Summary Statements/2026-04-16_K252371.pdf
9/23/25,K251483,SwiftSight-Brain,AIRS Medical Inc.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251483.pdf,Data/FDA Summary Statements/2026-04-16_K251483.pdf
9/23/25,K251987,Rapid Aortic Measurements,"iSchemaView, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251987.pdf,Data/FDA Summary Statements/2026-04-16_K251987.pdf
9/19/25,K251167,uDR Aurora CX,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPR,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251167.pdf,Data/FDA Summary Statements/2026-04-16_K251167.pdf
9/19/25,K251002,Videa Dental AI,VideaHealth Inc.,Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251002.pdf,Data/FDA Summary Statements/2026-04-16_K251002.pdf
9/19/25,K250649,Bunkerhill ECG-EF,BunkerHill Health,Cardiovascular,QYE,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250649.pdf,Data/FDA Summary Statements/2026-04-16_K250649.pdf
9/18/25,K250369,Axial3D Insight,Axial Medical Printing Limited,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250369.pdf,Data/FDA Summary Statements/2026-04-16_K250369.pdf
9/17/25,K251386,ECHELON Synergy,Fujifilm Corporation,Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251386.pdf,Data/FDA Summary Statements/2026-04-16_K251386.pdf
9/17/25,K251221,Assert-IQ  (DM5000); Assert-IQ (DM5300); Assert-IQ (DM5500); Merlin.net (MN7000),Abbott,Cardiovascular,MXD,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251221.pdf,Data/FDA Summary Statements/2026-04-16_K251221.pdf
9/15/25,K250237,InferOperate Suite,"Beijing Infervision Healthcare Medical Technology Co., Ltd.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250237.pdf,Data/FDA Summary Statements/2026-04-16_K250237.pdf
9/12/25,K251368,FETOLY,Diagnoly,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251368.pdf,Data/FDA Summary Statements/2026-04-16_K251368.pdf
9/12/25,K251518,Volta AF-Xplorer II,Volta Medical,Cardiovascular,DQK,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251518.pdf,Data/FDA Summary Statements/2026-04-16_K251518.pdf
9/12/25,K252586,CADDIE,Odin Medical Limited,Gastroenterology-Urology,QNP,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252586.pdf,Data/FDA Summary Statements/2026-04-16_K252586.pdf
9/11/25,K251399,SIGNA Sprint,"GE Medical Systems, LLC",Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251399.pdf,Data/FDA Summary Statements/2026-04-16_K251399.pdf
9/11/25,K250507,Hypertension Notification Feature (HTNF),Apple Inc.,Cardiovascular,SFR,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250507.pdf,Data/FDA Summary Statements/2026-04-16_K250507.pdf
9/11/25,K251316,Mazor X System / Mazor X Stealth Edition,Mazor Robotics Ltd.,Neurology,OLO,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251316.pdf,Data/FDA Summary Statements/2026-04-16_K251316.pdf
9/10/25,K244002,AngioWaveNet,"Angiowave Imaging, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K244002.pdf,Data/FDA Summary Statements/2026-04-16_K244002.pdf
9/9/25,K251682,MuscleView 2.0,"Springbok, Inc. (dba Springbok Analytics)",Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251682.pdf,Data/FDA Summary Statements/2026-04-16_K251682.pdf
9/9/25,K251072,Segmentron Viewer,"DGNCT, LLC",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251072.pdf,Data/FDA Summary Statements/2026-04-16_K251072.pdf
9/8/25,K251610,qER-CTA (v1.0),Qure.ai Technologies,Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251610.pdf,Data/FDA Summary Statements/2026-04-16_K251610.pdf
9/8/25,K251931,BioTraceIO Vision  (V1.7),Techsomed Medical Technologies,Radiology,QTZ,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251931.pdf,Data/FDA Summary Statements/2026-04-16_K251931.pdf
9/4/25,K251656,Careverse CoronaryDoc (Careverse CoronaryDoc),Careverse Technology Pte. Ltd.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251656.pdf,Data/FDA Summary Statements/2026-04-16_K251656.pdf
9/4/25,K250064,Dose+ (1.0),Mvision AI Oy,Radiology,MUJ,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250064.pdf,Data/FDA Summary Statements/2026-04-16_K250064.pdf
9/4/25,K251533,"Rapid Obstructive Hydrocephalus, Rapid OH",iSchemaView Inc.,Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251533.pdf,Data/FDA Summary Statements/2026-04-16_K251533.pdf
9/3/25,K252539,Tempus Pixel,"Arterys, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252539.pdf,Data/FDA Summary Statements/2026-04-16_K252539.pdf
9/2/25,K251408,OsteoSight Hip (v1),Naitive Technologies Ltd,Radiology,SAO,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251408.pdf,Data/FDA Summary Statements/2026-04-16_K251408.pdf
9/2/25,K250753,VELMENI for DENTISTS (V4D),Velmeni Inc.,Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250753.pdf,Data/FDA Summary Statements/2026-04-16_K250753.pdf
8/29/25,K243859,PRAEVAorta®2,Nurea,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243859.pdf,Data/FDA Summary Statements/2026-04-16_K243859.pdf
8/29/25,K251106,Sonosite LX and Sonosite PX Ultrasound Systems,Fujifilm Sonosite Inc,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251106.pdf,Data/FDA Summary Statements/2026-04-16_K251106.pdf
8/29/25,K250003,GENESEEQPRIME NGS Tumor Profiling Assay (FFPE) (GS6005),Geneseeq Technology Inc.,Pathology,PZM,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250003.pdf,Data/FDA Summary Statements/2026-04-16_K250003.pdf
8/29/25,K250290,SurgiTwin,Twinsight,Radiology,LLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250290.pdf,Data/FDA Summary Statements/2026-04-16_K250290.pdf
8/28/25,K250788,Definium Tempo Select,"GE Hualun Medical Systems Co., Ltd",Radiology,KPR,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250788.pdf,Data/FDA Summary Statements/2026-04-16_K250788.pdf
8/27/25,K243687,Vital Signs,Oxehealth Limited,Cardiovascular,QME,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243687.pdf,Data/FDA Summary Statements/2026-04-16_K243687.pdf
8/26/25,K251983,Brainomix 360 Triage Stroke,Brainomix Limited,Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251983.pdf,Data/FDA Summary Statements/2026-04-16_K251983.pdf
8/22/25,K243685,MammoScreen BD,Therapixel,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243685.pdf,Data/FDA Summary Statements/2026-04-16_K243685.pdf
8/22/25,K252362,GBrain MRI,"Galileo CDS, Inc",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252362.pdf,Data/FDA Summary Statements/2026-04-16_K252362.pdf
8/21/25,K251029,"Vista OS, Vista AI Scan, RTHawk","Vista AI, Inc.",Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251029.pdf,Data/FDA Summary Statements/2026-04-16_K251029.pdf
8/20/25,K251481,ACUSON Sequoia Diagnostic Ultrasound System; ACUSON Sequoia Select Diagnostic Ultrasound System; ACUSON Origin Diagnostic Ultrasound System; ACUSON Origin ICE Diagnostic Ultrasound System,"Siemens Medical Solutions USA, Inc.",Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251481.pdf,Data/FDA Summary Statements/2026-04-16_K251481.pdf
8/20/25,K251590,Methinks CTA Stroke,Methinks Software S.L.,Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251590.pdf,Data/FDA Summary Statements/2026-04-16_K251590.pdf
8/20/25,K251837,Salix Coronary Plaque (V1.0.0),Artrya Limited,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251837.pdf,Data/FDA Summary Statements/2026-04-16_K251837.pdf
8/15/25,K243851,CHLOE BLAST,Fairtility Ltd.,Obstetrics and Gynecology,PBH,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243851.pdf,Data/FDA Summary Statements/2026-04-16_K243851.pdf
8/15/25,K250818,Nerveblox,Smart Alfa Teknoloji San. Ve Tic. A.S.,Anesthesiology,QRG,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250818.pdf,Data/FDA Summary Statements/2026-04-16_K250818.pdf
8/15/25,K251747,VEA Align; spineEOS,EOS imaging,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251747.pdf,Data/FDA Summary Statements/2026-04-16_K251747.pdf
8/12/25,K250755,DS Core Diagnosis,Dentsply Sirona Inc.,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250755.pdf,Data/FDA Summary Statements/2026-04-16_K250755.pdf
8/12/25,K251494,Eko Foundation Analysis Software with Transformers (EFAST),"Eko Health, Inc.",Cardiovascular,DQD,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251494.pdf,Data/FDA Summary Statements/2026-04-16_K251494.pdf
8/11/25,K251873,Saige-Dx,"DeepHealth, Inc.",Radiology,QDQ,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251873.pdf,Data/FDA Summary Statements/2026-04-16_K251873.pdf
