level,label,bucket,reason,consequential,n_occurrences,n_trials,example_nct,parser_rules_version
class,Men,male,mapped,True,15,15,NCT03047005,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part 1,,unrecognized,False,15,15,NCT03290248,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part B,,unrecognized,False,15,15,NCT03537651,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Unknown or Not Reported,unknown,mapped,True,16,15,NCT03323307,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Unknown or Not Reported,unknown,mapped,True,15,15,NCT04520256,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,female,female,mapped,True,15,15,NCT05143047,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,unknown,unknown,mapped,True,15,15,NCT01663779,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Not reported,unknown,mapped,True,14,14,NCT01170091,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part 2,,unrecognized,False,14,14,NCT03290248,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,male,male,mapped,True,14,14,NCT05143047,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Intersex,gender_diverse,mapped,True,13,13,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Men,male,mapped,True,14,13,NCT04870099,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Parent,,structural_or_group,False,13,13,NCT04516252,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Parents,,structural_or_group,False,13,13,NCT04317664,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Prefer not to say,unknown,mapped,True,13,13,NCT04634903,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transgender Female,ambiguous,mapped,True,13,13,NCT03552978,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Women,female,mapped,True,14,13,NCT04870099,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Pansexual,,sexual_orientation,True,12,12,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Phase 2,,unrecognized,False,12,12,NCT02384954,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gay,,sexual_orientation,True,11,11,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Heterosexual,,sexual_orientation,True,11,11,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Not reported,unknown,mapped,True,11,11,NCT04587167,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Undifferentiated,unknown,mapped,True,17,11,NCT04614948,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,sex,,structural_or_group,False,11,11,NCT01359007,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Queer,,sexual_orientation,True,10,10,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transgender Male,ambiguous,mapped,True,10,10,NCT04906707,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adolescent,,unrecognized,False,9,9,NCT04516252,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Caregiver,,unrecognized,False,9,9,NCT02483520,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Homosexual,,sexual_orientation,True,9,9,NCT04109118,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Intersex,gender_diverse,mapped,True,10,9,NCT05965726,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Missing data,unknown,mapped,True,9,9,NCT00830115,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Non-Binary,gender_diverse,mapped,True,9,9,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Not collected,unknown,mapped,True,9,9,NCT00676208,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Unknown or not reported,unknown,mapped,True,11,9,NCT03681119,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child,,structural_or_group,False,8,8,NCT04066205,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Cohort 2,,structural_or_group,False,8,8,NCT03165526,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender identity,,unrecognized,False,8,8,NCT04870099,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Genderqueer,gender_diverse,mapped,True,8,8,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Lesbian,,sexual_orientation,True,8,8,NCT04408469,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Missing Data,unknown,mapped,True,8,8,NCT01987752,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Phase 1,,unrecognized,False,8,8,NCT02384954,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Prefer Not to Answer,unknown,mapped,True,8,8,NCT03610698,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Stage 1,,unrecognized,False,8,8,NCT01960257,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Stage 2,,unrecognized,False,8,8,NCT03281369,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Total,,structural_or_group,False,8,8,NCT04911296,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adolescents,,unrecognized,False,7,7,NCT03986190,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Participants,,unrecognized,False,7,7,NCT02699450,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child Participants,,unrecognized,False,7,7,NCT02374138,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Cohort 1,,structural_or_group,False,7,7,NCT03165526,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Mothers,,structural_or_group,False,7,7,NCT03101891,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Nonbinary,gender_diverse,mapped,True,8,7,NCT04066959,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Not Reported,unknown,mapped,True,14,7,NCT01380990,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Not disclosed,unknown,mapped,True,7,7,NCT04543188,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Overall,,structural_or_group,False,7,7,NCT03276754,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Prefer not to say,unknown,mapped,True,7,7,NCT06129487,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Straight,,sexual_orientation,True,7,7,NCT02332239,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Straight/Heterosexual,,sexual_orientation,True,7,7,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Unknown or not reported,unknown,mapped,True,8,7,NCT04507360,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Unknown/Not Reported,unknown,mapped,True,7,7,NCT05434013,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Unknown/Not reported,unknown,mapped,True,7,7,NCT06834763,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Cisgender,gender_diverse,mapped,True,6,6,NCT04193189,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Male or Female,female,mapped,True,6,6,NCT00524134,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Patient,,structural_or_group,True,6,6,NCT05958615,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Prefer Not to Answer,unknown,mapped,True,6,6,NCT03325608,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Providers,,structural_or_group,False,6,6,NCT02922738,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex at Birth,,unrecognized,False,6,6,NCT06050083,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,"Sex: Female, Male",female,mapped,True,6,6,NCT04308759,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Transgender Female,ambiguous,mapped,True,6,6,NCT03910218,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transgender Man,ambiguous,mapped,True,6,6,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Undifferentiated,unknown,mapped,True,6,6,NCT04908722,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Unknown/Missing,unknown,mapped,True,6,6,NCT04981392,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adults,,unrecognized,False,5,5,NCT02544321,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Cisgender Male,ambiguous,mapped,True,5,5,NCT03396367,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Genderqueer,gender_diverse,mapped,True,5,5,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Main Study,,unrecognized,False,5,5,NCT05375929,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Male and Female,female,mapped,True,5,5,NCT00527748,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Missing data,unknown,mapped,True,5,5,NCT03374683,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Not sure,unknown,mapped,True,5,5,NCT06311084,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Others,gender_diverse,mapped,True,5,5,NCT06274723,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Parent Participants,,unrecognized,False,5,5,NCT02374138,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Participants,,structural_or_group,False,5,5,NCT02064959,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Transgender Male,ambiguous,mapped,True,5,5,NCT03910218,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transgender Woman,ambiguous,mapped,True,5,5,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Transgender female,ambiguous,mapped,True,5,5,NCT04974580,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transgender women,ambiguous,mapped,True,5,5,NCT04878328,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Unknown/Not Reported,unknown,mapped,True,5,5,NCT03993457,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Unspecified,unknown,mapped,True,5,5,NCT01200407,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,gender,,structural_or_group,False,5,5,NCT03136913,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,missing,unknown,mapped,True,5,5,NCT03877744,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,other,gender_diverse,mapped,True,5,5,NCT04720053,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Agender,gender_diverse,mapped,True,4,4,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Asexual,,sexual_orientation,True,4,4,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline,,unrecognized,False,4,4,NCT04129450,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Caregiver Sex,,unrecognized,False,4,4,NCT03786471,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child Sex,,unrecognized,False,4,4,NCT04528732,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child participants,,unrecognized,False,4,4,NCT05358444,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,China Cohort,,structural_or_group,False,4,4,NCT02296125,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Cisgender male,ambiguous,mapped,True,4,4,NCT05564299,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Did not answer,unknown,mapped,True,4,4,NCT03548779,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Females,female,mapped,True,4,4,NCT02289950,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Gay/Lesbian,,sexual_orientation,True,4,4,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender not reported,unknown,mapped,True,4,4,NCT01078571,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Global cohort,,structural_or_group,False,4,4,NCT04305496,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Heterosexual/straight,,sexual_orientation,True,4,4,NCT03624972,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Homosexual,,sexual_orientation,True,4,4,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Infants,,structural_or_group,False,4,4,NCT03464630,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Lesbian,,sexual_orientation,True,4,4,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,MALE,male,mapped,True,4,4,NCT01178528,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Male Participants,male,mapped,True,4,4,NCT02611154,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Mother,,structural_or_group,False,4,4,NCT04050202,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,NA,,structural_or_group,False,4,4,NCT02127931,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Not Collected,unknown,mapped,True,4,4,NCT00686205,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Not Disclosed,unknown,mapped,True,8,4,NCT02159066,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Not Specified,unknown,mapped,True,4,4,NCT00988832,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Other Gender,gender_diverse,mapped,True,4,4,NCT04281030,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part C,,unrecognized,False,4,4,NCT02855164,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Period 1,,unrecognized,False,4,4,NCT05032196,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Prefer not to disclose,unknown,mapped,True,4,4,NCT05207956,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Questioning,gender_diverse,mapped,True,4,4,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex/gender,,unrecognized,False,4,4,NCT04279483,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Straight or heterosexual,,sexual_orientation,True,4,4,NCT05386329,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Trans Man,ambiguous,mapped,True,4,4,NCT03489707,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Trans Woman,ambiguous,mapped,True,4,4,NCT03489707,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Trans male,ambiguous,mapped,True,4,4,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Transgender spectrum,gender_diverse,mapped,True,4,4,NCT04193189,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transgender woman,ambiguous,mapped,True,4,4,NCT01327651,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Veterans,,unrecognized,False,4,4,NCT04241094,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,caregivers,,unrecognized,False,4,4,NCT04912245,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,unknown,unknown,mapped,True,4,4,NCT04505969,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult,,unrecognized,False,3,3,NCT03580369,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Ambiguous,gender_diverse,mapped,True,3,3,NCT00074412,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Boy,male,mapped,True,3,3,NCT03231358,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child Gender,,unrecognized,False,3,3,NCT02713659,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child sex,,unrecognized,False,3,3,NCT02973815,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,China cohort,,structural_or_group,False,3,3,NCT04305496,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Cisgender,gender_diverse,mapped,True,3,3,NCT03512210,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Cisgender female,ambiguous,mapped,True,3,3,NCT05393869,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,De-identified,unknown,mapped,True,3,3,NCT05677347,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Decline to Answer,unknown,mapped,True,3,3,NCT03910218,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Decline to Answer,unknown,mapped,True,3,3,NCT03498287,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Declined to answer,unknown,mapped,True,3,3,NCT03320512,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Don't know,,unrecognized,True,3,3,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,FEMALE,female,mapped,True,3,3,NCT01178528,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Female (Comparison 1),female,mapped,True,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Female (Comparison 2),female,mapped,True,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Female (Comparison 3),female,mapped,True,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Female (Comparison 4),female,mapped,True,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Female only,female,mapped,True,3,3,NCT03451071,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Female participants,female,mapped,True,3,3,NCT05280691,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Full analysis set,,unrecognized,False,3,3,NCT03384966,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Gay or Lesbian,,sexual_orientation,True,3,3,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Gay/homosexual,,sexual_orientation,True,3,3,NCT03803683,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender : Female,female,mapped,True,3,3,NCT02610725,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender : Male,male,mapped,True,3,3,NCT02610725,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender Queer,gender_diverse,mapped,True,3,3,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender Unknown,unknown,mapped,True,3,3,NCT03599687,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Girl,female,mapped,True,3,3,NCT03231358,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Global Cohort,,structural_or_group,False,3,3,NCT03043872,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Heterosexual or Straight,,sexual_orientation,True,3,3,NCT03316911,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Lesbian/Gay,,sexual_orientation,True,3,3,NCT01537419,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Maintenance Phase,,unrecognized,False,3,3,NCT01559935,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Male (Comparison 1),male,mapped,True,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Male (Comparison 2),male,mapped,True,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Male (Comparison 3),male,mapped,True,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Male (Comparison 4),male,mapped,True,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
